l0,l1,l2,cycle,dsp,ii
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,8589934613,160,8
2,16,2,4294967319,160,4
4,1,16,4294967334,128,4
4,2,8,4294967334,160,4
4,4,4,17179869213,160,16
4,8,2,8589934627,160,8
4,16,1,20401095440,160,19
8,1,8,8589934658,160,8
8,2,4,34359738413,160,32
8,4,2,17179869243,160,16
8,8,1,16106128276,160,15
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,8589934609,160,4
1,16,2,4294967313,160,2
2,1,16,4294967320,128,2
2,2,8,4294967320,160,2
2,4,4,17179869205,160,8
2,8,2,8589934615,160,4
2,16,1,36507222286,160,17
4,1,8,8589934630,160,4
4,2,4,34359738397,160,16
4,4,2,17179869219,160,8
4,8,1,23622320528,160,11
8,1,4,68719476781,160,32
8,2,2,34359738427,160,16
8,4,1,23622320598,160,11
1,32,524290,160
2,16,1048578,160
4,8,2097154,160
8,4,524290,160
16,2,524290,20
1,16,1048578,160
2,8,2097154,160
4,4,4194306,160
8,2,1048578,160
1,8,2097154,160
2,4,4194306,160
4,2,8388610,160
1,4,16,1073741837,320,1
1,8,8,1073741837,320,1
1,16,4,4294967309,104,4
2,2,16,2147483668,160,2
2,4,8,2147483668,160,2
2,8,4,4294967317,104,4
2,16,2,2147483669,160,2
4,1,16,4294967330,80,4
4,2,8,4294967330,80,4
4,4,4,4294967333,80,4
4,8,2,4294967331,80,4
4,16,1,20401095248,104,19
8,1,8,8589934654,52,8
8,2,4,8589934657,52,8
8,4,2,8589934655,52,8
8,8,1,16106128052,104,15
1,2,16,2147483661,160,1
1,4,8,2147483661,160,1
1,8,4,8589934605,104,4
1,16,2,4294967309,104,2
2,1,16,4294967316,80,2
2,2,8,4294967316,104,2
2,4,4,8589934613,104,4
2,8,2,4294967317,104,2
2,16,1,36507222222,104,17
4,1,8,8589934626,52,4
4,2,4,8589934629,52,4
4,4,2,8589934627,52,4
4,8,1,23622320432,104,11
8,1,4,17179869249,52,8
8,2,2,17179869247,52,8
8,4,1,23622320484,104,11
1,1,16,833257218050,104,203431938
1,2,8,4294967309,104,1
1,4,4,17179869197,104,4
1,8,2,8589934605,104,2
1,16,1,833225760770,104,203424258
2,1,8,8589934612,104,2
2,2,4,17179869205,104,4
2,4,2,8589934613,104,2
2,8,1,38654705774,104,9
4,1,4,17179869221,52,4
4,2,2,17179869219,52,4
4,4,1,30064771232,104,7
8,1,2,34359738431,52,8
8,2,1,38654705852,104,9
1,1,8,841847152642,104,205529090
1,2,4,34359738381,104,4
1,4,2,17179869197,104,2
1,8,1,841817792514,104,205521922
2,1,4,34359738389,104,4
2,2,2,17179869205,104,2
2,4,1,42949673022,104,5
4,1,2,34359738403,52,4
4,2,1,42949673048,104,5
8,1,1,841817785346,104,1644175362
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
1,8,2,4294967313,86,1
1,16,1,1108103667714,5,270533122
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
2,4,2,8589934616,46,2
2,8,1,38654705810,8,9
4,1,4,17179869222,32,4
4,2,2,17179869222,26,4
4,4,1,30064771284,5,7
8,1,2,34359738434,16,8
8,2,1,38654705912,5,9
1,1,8,1116725059586,5,272637954
1,2,4,8589934609,52,1
1,4,2,8589934609,46,1
1,8,1,1116695699458,5,272630786
2,1,4,17179869208,32,2
2,2,2,17179869208,26,2
2,4,1,42949673042,8,5
4,1,2,34359738406,16,4
4,2,1,42949673076,5,5
8,1,1,1116695692290,5,-2113921022
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,4294967313,160,4
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,8589934613,160,8
2,16,2,4294967319,160,4
4,1,16,4294967334,128,4
4,2,8,4294967334,160,4
4,4,4,17179869213,160,16
4,8,2,8589934627,160,8
4,16,1,20401095440,160,19
8,1,8,8589934658,160,8
8,2,4,34359738413,160,32
8,4,2,17179869243,160,16
8,8,1,16106128276,160,15
